City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Adrar,20.5022,-10.0711,100.15,10,1,14.85,MR,1620748096
Saint-Pierre,-21.3393,55.4781,77.0,73,90,4.61,RE,1620748097
Koslan,63.4564,48.8989,50.29,80,100,6.71,RU,1620748097
Safonovo,55.15,33.2167,60.73,66,32,6.67,RU,1620748097
Santa Isabel Rio Negro,-0.4139,-65.0192,79.45,90,87,3.31,BR,1620748097
Pevek,69.7008,170.3133,5.0,97,98,3.76,RU,1620748098
Matara,5.9485,80.5353,81.37,80,51,2.06,LK,1620748098
Shira,54.4911,89.9531,49.75,53,100,4.68,RU,1620748099
Dhidhdhoo,6.8833,73.1,81.27,86,100,12.1,MV,1620748099
Celestún,20.8667,-90.4,88.18,52,4,10.42,MX,1620748099
Florianópolis,-27.6146,-48.5012,69.01,77,75,14.97,BR,1620748099
Provideniya,64.3833,-173.3,33.84,97,100,9.91,RU,1620748100
Narsaq,60.9167,-46.05,44.6,45,75,6.91,GL,1620748100
Geraldton,-28.7667,114.6,62.6,72,69,10.36,AU,1620748100
Vestmannaeyjar,63.4427,-20.2734,41.0,75,20,10.36,IS,1620748101
Cadillac,44.2519,-85.4012,42.8,65,75,12.66,US,1620748101
Shiogama,38.3167,141.0333,51.73,69,0,6.42,JP,1620748101
Mazagão,-0.115,-51.2894,77.0,94,90,13.8,BR,1620748102
Shimoda,34.6667,138.95,64.99,76,100,10.92,JP,1620748102
Nioro,13.35,-15.75,106.81,10,17,3.15,GM,1620748102
Wanning,18.8003,110.3967,79.72,89,31,9.37,CN,1620748102
Tezu,27.9167,96.1667,74.08,67,72,3.76,IN,1620748103
Joshīmath,30.5667,79.5667,58.86,91,100,4.85,IN,1620748103
Brae,60.3964,-1.353,50.0,87,20,5.75,GB,1620748104
Kalmunai,7.4167,81.8167,82.53,77,98,10.58,LK,1620748104
Clearwater,27.9659,-82.8001,87.01,62,40,6.91,US,1620747960
Sinnamary,5.3833,-52.95,81.95,73,85,11.79,GF,1620748104
Avera,33.194,-82.5271,78.8,57,1,3.44,US,1620748105
Tomigusuku,26.185,127.675,77.0,94,75,16.11,JP,1620748105
Vila,42.0304,-8.1588,57.0,71,99,14.0,PT,1620748105
Aras,42.5617,-2.356,64.99,27,20,16.11,ES,1620748106
Yelkhovka,53.8667,50.2832,73.4,35,0,4.47,RU,1620748106
Bima,-8.4667,118.7167,73.13,89,87,3.67,ID,1620748106
Morondava,-20.2833,44.2833,76.93,71,1,14.58,MG,1620748107
Departamento de Maldonado,-34.6667,-54.9167,60.8,59,40,16.11,UY,1620748107
Zatoka,46.0725,30.4654,73.4,38,20,13.42,UA,1620748107
São Gabriel da Cachoeira,-0.1303,-67.0892,80.6,83,90,5.75,BR,1620748108
Westport,41.1415,-73.3579,62.01,27,1,17.27,US,1620747837
Sanguéya,10.7,-14.3667,92.77,39,10,13.44,GN,1620748108
Sept-Îles,50.2001,-66.3821,48.99,53,75,10.36,CA,1620748108
Jvari,42.7169,42.052,59.0,55,0,11.5,GE,1620748109
Thompson,55.7435,-97.8558,57.2,33,20,14.97,CA,1620748109
Hong Kong,22.2855,114.1577,84.99,84,6,1.99,HK,1620747943
Baguanos,20.7517,-76.0269,87.8,58,40,10.36,CU,1620748109
Birjand,32.8663,59.2211,75.2,19,20,13.8,IR,1620748110
Bacolod City,10.6667,122.95,80.64,78,67,5.28,PH,1620748110
Esperance,-33.8667,121.9,59.0,88,76,13.8,AU,1620748110
Mayo,38.8876,-76.5119,66.99,39,1,6.91,US,1620748110
Boston,42.3584,-71.0598,63.0,29,20,17.27,US,1620747572
Sitka,57.0531,-135.33,46.4,87,90,11.5,US,1620748111
Škofja Loka,46.1655,14.3063,78.01,38,20,1.14,SI,1620748111
Tuatapere,-46.1333,167.6833,39.0,83,86,1.99,NZ,1620748111
La Ronge,55.1001,-105.2842,57.2,30,82,4.61,CA,1620748112
Anadyr,64.75,177.4833,26.6,93,90,11.18,RU,1620748112
Zahir Pir,28.8124,70.524,91.71,28,36,11.48,PK,1620748112
Alice Springs,-23.7,133.8833,53.6,71,0,5.75,AU,1620747916
Maceió,-9.6658,-35.7353,78.8,78,75,16.11,BR,1620748113
Broome,42.2506,-75.833,53.01,43,40,16.11,US,1620748113
Mount Gambier,-37.8333,140.7667,46.4,93,71,8.05,AU,1620748114
Hachinohe,40.5,141.5,48.27,91,100,3.0,JP,1620748114
Taywarah,33.35,64.4167,54.45,49,19,11.39,AF,1620748114
Kavieng,-2.5744,150.7967,80.67,73,77,1.83,PG,1620748115
Angoram,-4.0625,144.0661,73.6,98,100,1.16,PG,1620748115
Fort Nelson,58.8053,-122.7002,44.6,70,20,4.61,CA,1620748115
Hibbing,47.4272,-92.9377,48.2,36,1,4.61,US,1620748116
Nagua,19.3832,-69.8474,80.6,83,75,4.61,DO,1620748116
Kungurtug,50.5994,97.5228,36.16,63,94,1.14,RU,1620748116
Sompeta,18.9333,84.6,80.17,76,98,13.24,IN,1620748116
San Cristobal,7.7669,-72.225,86.0,51,75,19.57,VE,1620748117
Hobyo,5.3505,48.5268,81.95,77,100,18.25,SO,1620748117
Luganville,-15.5333,167.1667,78.13,86,33,9.51,VU,1620748117
Luebo,-5.35,21.4167,79.72,62,81,0.09,CD,1620748118
The Valley,18.217,-63.0578,84.99,78,40,17.27,AI,1620748118
Finschhafen,-6.6024,147.8681,79.03,81,88,7.36,PG,1620748118
Espinosa,-14.9261,-42.8192,85.59,26,0,4.43,BR,1620748119
Santa Cruz de Tenerife,28.4682,-16.2546,73.0,60,20,12.66,ES,1620748119
Kastamonu Province,41.5,33.6667,50.31,48,4,6.67,TR,1620748119
Norman Wells,65.282,-126.8329,39.2,60,20,13.8,CA,1620748120
Santa Isabel,-23.3156,-46.2214,77.0,44,0,12.66,BR,1620748120
Liverpool,53.4106,-2.9779,59.0,82,75,11.5,GB,1620747866
Zhangye,38.9342,100.4517,69.48,18,49,3.62,CN,1620747908
Ahipara,-35.1667,173.1667,63.59,94,59,7.83,NZ,1620748120
Juba,4.8517,31.5825,71.47,92,100,3.58,SS,1620748121
Apodi,-5.6642,-37.7989,84.38,59,98,10.89,BR,1620748121
Versailles,48.8,2.1333,59.0,63,0,11.5,FR,1620748121
Sobolevo,54.4299,31.8996,62.01,69,40,7.27,RU,1620748122
Lagoa,39.05,-27.9833,61.48,70,66,11.7,PT,1620748122
Hailar,49.2,119.7,41.99,86,100,10.29,CN,1620748122
Uyemskiy,64.4743,40.8524,71.6,43,40,4.47,RU,1620748123
Pacific Grove,36.6177,-121.9166,59.0,82,90,2.59,US,1620748123
Oruzgan,32.8333,66.0,73.58,25,0,5.1,AF,1620748123
Salalah,17.0151,54.0924,84.2,84,75,11.5,OM,1620748123
Carbondale,37.7273,-89.2168,62.01,55,1,11.5,US,1620748014
Tūkrah,32.5341,20.5791,72.19,49,0,16.53,LY,1620748124
Fayetteville,35.0527,-78.8784,66.2,55,90,8.05,US,1620747837
Penzance,50.1186,-5.5371,51.8,87,40,9.22,GB,1620748124
Bubaque,11.2833,-15.8333,76.86,71,17,11.54,GW,1620748125
Samaná,19.2056,-69.3369,80.6,89,75,9.22,DO,1620747909
Villa Vicente Guerrero,19.1194,-98.1708,68.0,60,20,4.61,MX,1620748125
Deputatsky,69.3,139.9,8.65,98,100,0.96,RU,1620748125
Aklavik,68.2191,-135.0107,24.8,80,75,4.61,CA,1620748126
Tessalit,20.1986,1.0114,108.12,6,24,7.49,ML,1620748126
Alugan,12.2188,125.4808,80.06,84,71,7.45,PH,1620748126
Fairbanks,64.8378,-147.7164,50.0,50,75,6.91,US,1620748126
Arroyo de la Encomienda,41.6096,-4.7969,60.01,47,20,19.57,ES,1620748127
Mahibadhoo,3.7833,72.9667,81.41,86,100,21.41,MV,1620748127
Pilar,-9.5972,-35.9567,78.8,78,75,16.11,BR,1620748127
Clyde River,70.4692,-68.5914,15.8,100,20,4.56,CA,1620748128
Teonthar,24.9833,81.65,96.13,22,77,7.52,IN,1620748128
Trat,12.5,102.5,78.75,90,9,2.42,TH,1620748128
Okha,53.5739,142.9478,28.92,83,42,5.93,RU,1620748129
Ankazoabo,-22.2833,44.5167,72.01,48,25,9.42,MG,1620748129
Anchorage,61.2181,-149.9003,45.0,70,75,5.75,US,1620747897
Tashtyp,52.7939,89.8983,48.33,59,100,2.84,RU,1620748129
Lichuan,30.3,108.85,58.24,95,98,2.17,CN,1620748130
Båtsfjord,70.6345,29.7185,35.6,87,75,4.61,NO,1620748130
Am Timan,11.0297,20.2827,93.42,29,54,11.45,TD,1620748130
Iskateley,67.6803,53.1512,43.45,86,99,6.04,RU,1620748131
Russell,32.3502,-85.1999,75.2,83,40,1.92,US,1620747912
São Miguel do Iguaçu,-25.3481,-54.2378,69.8,88,90,2.3,BR,1620748131
Omsukchan,62.5333,155.8,20.73,96,93,4.18,RU,1620748131
Kununurra,-15.7667,128.7333,66.2,82,0,3.44,AU,1620748029
Channel-Port aux Basques,47.5702,-59.1367,41.18,78,11,16.64,CA,1620748132
Puebloviejo,10.9938,-74.2844,87.8,66,20,5.75,CO,1620748132
Patāmundai,20.5667,86.5667,80.28,69,43,10.36,IN,1620748132
Puerto Escondido,15.85,-97.0667,87.8,70,40,4.72,MX,1620748133
Ntungamo,-0.8833,29.65,67.75,89,92,0.45,UG,1620748133
Seoul,37.5683,126.9778,66.2,27,0,13.8,KR,1620748036
Naze,28.3667,129.4833,71.49,93,100,11.83,JP,1620748134
Greenwood,34.1668,-82.1165,72.0,72,90,8.05,US,1620747845
Qaqortoq,60.7167,-46.0333,44.6,45,75,6.91,GL,1620748134
Kashgar,39.4547,75.9797,75.2,13,40,24.61,CN,1620748134
Lubango,-14.9172,13.4925,66.74,52,16,3.76,AO,1620748135
Toamasina,-18.1667,49.3833,77.0,83,40,5.75,MG,1620748135
Pavlodar,52.3,76.95,60.8,31,20,8.95,KZ,1620748135
Āreka,7.0667,37.7,63.91,84,81,2.82,ET,1620748135
Yagodnoye,62.55,149.6667,29.39,97,89,1.57,RU,1620748136
Hervey Bay,-25.2986,152.8535,73.99,100,90,5.75,AU,1620748136
Chernyshevskiy,63.0128,112.4714,29.25,78,100,6.35,RU,1620748136
Chengde,40.9725,117.9361,53.71,55,36,1.54,CN,1620748137
Constitución,-35.3333,-72.4167,62.74,48,8,4.0,CL,1620748137
Katsuura,35.1333,140.3,62.6,67,75,10.36,JP,1620748137
Saskylakh,71.9167,114.0833,5.22,97,62,6.55,RU,1620748138
Gīdam,18.9833,81.4,81.52,63,55,4.7,IN,1620748138
Cayenne,4.9333,-52.3333,84.2,70,75,13.8,GF,1620748138
San Quintín,30.4833,-115.95,61.2,71,35,3.85,MX,1620748139
Panacan,9.2463,118.4082,81.45,83,65,5.21,PH,1620748139
Tommot,58.9564,126.2925,37.4,96,100,3.06,RU,1620748139
Mirny,62.5353,113.9611,30.67,80,98,6.87,RU,1620748139
Qasigiannguit,68.8193,-51.1922,33.8,86,90,4.61,GL,1620748140
Lagunas,-5.2269,-75.6753,77.59,77,93,2.19,PE,1620748140
Borogontsy,62.6683,131.1683,43.75,91,100,1.45,RU,1620748140
Chapais,49.7834,-74.8492,51.8,35,40,9.22,CA,1620748141
Pangnirtung,66.1451,-65.7125,26.6,93,75,9.22,CA,1620748141
Phayao,19.25,100.25,77.32,71,46,2.3,TH,1620748141
Yulara,-25.2406,130.9889,59.0,63,0,8.05,AU,1620748141
Bahía Honda,22.9036,-83.1592,88.99,51,3,7.7,CU,1620748142
Kevsala,45.7983,42.6903,51.1,77,100,5.91,RU,1620748142
Berlin,52.5244,13.4105,84.0,42,0,8.05,DE,1620747956
Srednekolymsk,67.45,153.6833,19.24,95,100,2.15,RU,1620748142
Taggia,43.8485,7.8545,66.2,82,75,27.63,IT,1620748143
Pisco,-13.7,-76.2167,66.99,82,90,4.61,PE,1620748143
Puerto Suárez,-18.95,-57.8,78.8,69,40,12.66,BO,1620748144
